YDR107C	YDR107C
YDR108W	GSG1
YDR109C	YDR109C
YDR110W	FOB1
YDR111C	YDR111C
YDR112W	YDR112W
YDR113C	PDS1
YDR114C	YDR114C
YDR115W	YDR115W
YDR116C	YDR116C
YDR117C	YDR117C
YDR118W	APC4
YDR119W	YDR119W
YDR120C	TRM1
YDR121W	DPB4
YDR122W	KIN1
YDR123C	INO2
YDR124W	YDR124W
YDR125C	ECM18
YDR126W	PSL10
YDR127W	ARO1
YDR128W	YDR128W
YDR129C	SAC6
YDR130C	FIN1
YDR131C	YDR131C
YDR132C	YDR132C
YDR133C	YDR133C
YDR134C	YDR134C
YDR135C	YCF1
YDR136C	YDR136C
YDR137W	RGP1
YDR138W	HPR1
YDR139C	RUB1
YDR140W	FYV9
YDR141C	DOP1
YDR142C	PEX7
YDR143C	SAN1
YDR144C	MKC7
YDR145W	TAF61
YDR146C	SWI5
YDR147W	EKI1
YDR148C	KGD2
YDR149C	YDR149C
YDR150W	NUM1
YDR151C	CTH1
YDR152W	YDR152W
YDR153C	YDR153C
YDR154C	YDR154C
YDR155C	CPH1
YDR156W	RPA14
YDR157W	YDR157W
YDR158W	HOM2
YDR159W	SAC3
YDR160W	SSY1
YDR161W	TCI1
YDR162C	NBP2
YDR163W	YDR163W
YDR164C	SEC1
YDR165W	YDR165W
YDR166C	SEC5
YDR167W	TAF25
YDR168W	CDC37
YDR169C	STB3
YDR170C	SEC7
YDR171W	HSP42
YDR172W	SUP35
YDR173C	ARG82
YDR174W	HMO1
YDR175C	RSM24
YDR176W	NGG1
YDR177W	UBC1
YDR178W	SDH4
YDR179C	YDR179C
YDR179W-A	YDR179W-A
YDR180W	SCC2
YDR181C	SAS4
YDR182W	CDC1
YDR183W	PLP1
YDR184C	ATC1
YDR185C	YDR185C
YDR186C	YDR186C
YDR187C	YDR187C
YDR188W	CCT6
YDR189W	SLY1
YDR190C	RVB1
YDR191W	HST4
YDR192C	NUP42
YDR193W	YDR193W
YDR194C	MSS116
YDR195W	REF2
YDR196C	YDR196C
YDR197W	CBS2
YDR198C	YDR198C
YDR199W	YDR199W
YDR200C	YDR200C
YDR201W	SPC19
YDR202C	RAV2
YDR203W	YDR203W
YDR204W	COQ4
YDR205W	MSC2
YDR206W	EBS1
YDR207C	UME6
YDR208W	MSS4
YDR209C	YDR209C
YDR210W	YDR210W
YDR211W	GCD6
YDR212W	TCP1
YDR213W	UPC2
YDR214W	YDR214W
YDR215C	YDR215C
YDR216W	ADR1
YDR217C	RAD9
YDR218C	SPR28
YDR219C	YDR219C
YDR220C	YDR220C
YDR221W	YDR221W
YDR222W	YDR222W
YDR223W	YDR223W
YDR224C	HTB1
YDR225W	HTA1
YDR226W	ADK1
YDR227W	SIR4
YDR228C	PCF11
YDR229W	YDR229W
YDR230W	YDR230W
YDR231C	COX20
YDR232W	HEM1
YDR233C	YDR233C
YDR234W	LYS4
YDR235W	PRP42
YDR236C	FMN1
YDR237W	MRPL7
YDR238C	SEC26
YDR239C	YDR239C
YDR240C	SNU56
YDR241W	BUD26
YDR242W	AMD2
YDR243C	PRP28
YDR244W	PEX5
YDR245W	MNN10
YDR246W	TRS23
YDR247W	YDR247W
YDR248C	YDR248C
YDR249C	YDR249C
YDR250C	YDR250C
YDR251W	PAM1
YDR252W	BTT1
YDR253C	MET32
YDR254W	CHL4
YDR255C	YDR255C
YDR256C	CTA1
YDR257C	RMS1
YDR258C	HSP78
YDR259C	YAP6
YDR260C	SWM1
YDR261C	EXG2
YDR262W	YDR262W
YDR263C	DIN7
YDR264C	AKR1
YDR265W	PEX10
YDR266C	YDR266C
YDR267C	YDR267C
YDR268W	MSW1
YDR269C	YDR269C
YDR270W	CCC2
YDR271C	YDR271C
YDR272W	GLO2
YDR273W	YDR273W
YDR274C	YDR274C
YDR275W	YDR275W
YDR276C	PMP3
YDR277C	MTH1
YDR278C	YDR278C
YDR279W	YDR279W
YDR280W	RRP45
YDR281C	PHM6
YDR282C	YDR282C
YDR283C	GCN2
YDR284C	DPP1
YDR285W	ZIP1
YDR286C	YDR286C
YDR287W	YDR287W
YDR288W	YDR288W
YDR289C	RTT103
YDR290W	YDR290W
YDR291W	YDR291W
YDR292C	SRP101
YDR293C	SSD1
YDR294C	DPL1
YDR295C	PLO2
YDR296W	MHR1
YDR297W	SUR2
YDR298C	ATP5
YDR299W	BFR2
YDR300C	PRO1
YDR301W	CFT1
YDR302W	GPI11
YDR303C	RSC3
YDR304C	CYP5
YDR305C	HNT2
